;Nome;Referencia;Saldo0;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11;Data12;Excedente13
0;Valor não encontrado;61190000A ;;;;;;;;;;;;;;;
1;RV NORDICO SNOW AC 32X59 R;61190016A ;"Armazem
1106,27";;;;;;;;;;;;;;
2;INS CYGNUS 32X59 R;61190174A ;"Armazem
3160,61";;;;;;;;;;;;;;
3;INS REALE PATCH 32X59 R;61190176A ;"Armazem
148,03";;;;;;;;;;;;;;
4;INS FLER BRANCO AC 32X59 R;61190200A ;"Armazem
9058,08";;;;;;;;;;;;;;
5;INS FLER BEGE AC 32X59 R;61190202A ;"Armazem
9958,69";;;;;;;;;;;;;;
6;Valor não encontrado;61190204A ;;;;;;;;;;;;;;;
7;RV PRESTIGE CREMA AC 32X59 R;61190234A ;"Armazem
1801,22";;;;;;;;;;;;;;
8;INS MIXDECOR MULTICOR AC 32X59 R;61190238A ;"Armazem
2629,51";;;;;;;;;;;;;;
9;INS MIXDECOR SOFT AC 32X59R;61190240A ;"Armazem
607,94";;;;;;;;;;;;;;
10;RV ONICE AC 30X90,2 R;61190246A ;"Armazem
48,60";;;;;;;;;;;;;;
11;INS LUDO WHITE AC 32X59 R;61190248A ;"Armazem
9253,76";;;;;;;;;;;;;;
12;INS LUDO WHITE BR 32X59 R;61190250A ;"Armazem
6327,00";;;;;;;;;;;;;;
13;INS LUDO BLACK AC 32X59 R;61190252A ;"Armazem
9047,80";;;;;;;;;;;;;;
14;RV NORDICO SNOW 30X90,2 R;61220004A ;"Armazem
2588,76"; 21/05/2022 ; 85,32 M2;;;;;;;;;;;;
15;RV NORDICO SNOW AC 30X90,2 R;61220006A ;"Armazem
120,96"; 08/06/2022 ; 39,69 M2; 31/05/2022 ; 95,85 M2;;;;;;;;;;
16;RV CALACATA AC 30X90,2 R;61220096A ;"Armazem
1919,16";;;;;;;;;;;;;;
17;INS CALACATA AC 30X90,2 R;61220098A ;"Armazem
4527,36";;;;;;;;;;;;;;
18;INS FLOREST GLASS AC 30X90,2 R;61220102A ;"Armazem
488,16";;;;;;;;;;;;;;
19;INS ALAMO GLASS NAT AC 30X90,2R;61220104A ;"Armazem
578,88";;;;;;;;;;;;;;
20;Valor não encontrado;61220106A ;;;;;;;;;;;;;;;
21;INS ALFAMA MULTICOR AC 30X90,2 R;61220108A ;"Armazem
2612,52";;;;;;;;;;;;;;
22;INS ALAMO MARROM AC 30X90,2 R;61220112A ;"Armazem
399,60";;;;;;;;;;;;;;
23;INS SHAPE MULTICOR AC 30X90,2 R;61220114A ;"Armazem
3681,72";;;;;;;;;;;;;;
24;INS RISCA BRANCO AC 30X90,2 R;61220118A ;"Armazem
2365,20"; 28/05/2022 ; 34,29 M2;;;;;;;;;;;;
25;INS LUX WHITE BR 30X90,2 R;61220120A ;"Armazem
2088,99"; 10/07/2022 ; 2882,79 M2;;;;;;;;;;;;
26;INS LUX SALVIA BR 30X90,2 R;61220122A ;"Armazem
1296,81";;;;;;;;;;;;;;
27;INS LUX FENDI BR 30X90,2 R;61220124A ;"Armazem
27,54"; 10/07/2022 ; 1720,71 M2;;;;;;;;;;;;
28;INS LUX WHITE AC 30X90,2 R;61220126A ;"Armazem
2986,47"; 08/07/2022 ; 1625,94 M2; 29/06/2022 ; 2410,02 M2;;;;;;;;;;
29;INS ONICE AC 30X90,2 R;61220128A ;"Armazem
1546,56"; 30/05/2022 ; 33,75 M2;;;;;;;;;;;;
30;INS CALACATA MOSAIC AC 30X90,2 R;61220130A ;"Armazem
1014,12";;;;;;;;;;;;;;
31;INS BLOSSOM BLUE AC 30X90,2 R;61220132A ;"Armazem
849,96";;;;;;;;;;;;;;
32;RV GLACIAL SNOW 33X60;61300004A ;"Armazem
6278,40"; 23/07/2022 ; 199,17 M2; 17/06/2022 ; 11357,60 M2;;;;;;;;;;
33;RV GLACIAL SNOW AC 33X60;61300006A ;"Armazem
22809,34"; 14/07/2022 ; 154,78 M2; 19/06/2022 ; 103,25 M2;;;;;;;;;;
34;RV GLACIAL OFF WHITE 33X60;61300008A ;"Armazem
5650,56";;;;;;;;;;;;;;
35;RV GLACIAL SOFT BEGE 33X60;61300010A ;"Armazem
2884,14";;;;;;;;;;;;;;
36;RV GLACIAL OFF WHITE AC 33X60;61300014A ;"Armazem
2517,90"; 15/07/2022 ; 250,70 M2;;;;;;;;;;;;
37;RV GLACIAL SOFT BEGE AC 33X60;61300016A ;"Armazem
3180,62";;;;;;;;;;;;;;
38;Valor não encontrado;61310000A ;;;;;;;;;;;;;;;
39;RV GLACIAL SNOW AC 32X59 R;61310002A ;"Armazem
34478,08"; 13/07/2022 ; 21232,64 M2; 21/06/2022 ; 25038,47 M2; 24/05/2022 ; 23035,43 M2;;;;;;;;
40;RV GLACIAL OFF WHITE 32X59 R;61310004A ;"Armazem
7650,24"; 13/07/2022 ; 3204,90 M2; 16/06/2022 ; 5007,69 M2;;;;;;;;;;
41;RV GLACIAL OFF WHITE AC 32X59 R;61310006A ;"Armazem
6843,20"; 14/07/2022 ; 3405,15 M2; 17/06/2022 ; 5007,69 M2;;;;;;;;;;
42;RV GLACIAL SOFT BEGE 32X59 R;61310008A ;"Armazem
4704,96";;;;;;;;;;;;;;
43;RV GLACIAL SOFT BEGE AC 32X59 R;61310010A ;"Armazem
765,44";;;;;;;;;;;;;;
44;Valor não encontrado;61320002A ;;;;;;;;;;;;;;;
45;RV COLOR RETRO AMARELO 11X25;61320008A ;"Armazem
407,68";;;;;;;;;;;;;;
46;RV COLOR RETRO VERMELHO 11X25;61320010A ;"Armazem
89,44";;;;;;;;;;;;;;
47;Valor não encontrado;61320012A ;;;;;;;;;;;;;;;
48;RV DROPS MENTA BR 11X25;61320014A ;"Armazem
172,64";;;;;;;;;;;;;;
49;RV DROPS TUTTI FRUTTI BR 11X25;61320016A ;"Armazem
290,16";;;;;;;;;;;;;;
50;Valor não encontrado;61320018A ;;;;;;;;;;;;;;;
51;RV DROPS UVA BR 11X25;61320020A ;"Armazem
489,84";;;;;;;;;;;;;;
52;RV TWIST MULTICOR BR 21,5X21,5;62030000A ;"Armazem
843,51";;;;;;;;;;;;;;
53;RV PATCH BLUE MT 21,5X21,5;62030002A ;"Armazem
1417,32";;;;;;;;;;;;;;
54;RV PATCH YELLOW MT 21,5X21,5;62030004A ;"Armazem
1607,04";;;;;;;;;;;;;;
55;RV PATCH ORANGE MT 21,5X21,5;62030006A ;"Armazem
333,87";;;;;;;;;;;;;;
56;RV PATCH GREEN MT 21,5X21,5;62030008A ;"Armazem
421,29";;;;;;;;;;;;;;
57;RV PATCH CORAL MT 21,5X21,5;62030010A ;"Armazem
473,37";;;;;;;;;;;;;;
58;RV PATCH PURPLE MT 21,5X21,5;62030012A ;"Armazem
411,06";;;;;;;;;;;;;;
59;RV ELEMENT BR 21,5X21,5;62030014A ;"Armazem
1557,75";;;;;;;;;;;;;;
60;PS TRIBAL DECOR AC 20X20;62030020A ;"Armazem
422,44";;;;;;;;;;;;;;
61;PS TRIBAL GESSO AC 20X20;62030022A ;"Armazem
141,60";;;;;;;;;;;;;;
62;PS TRIBAL CIMENTO AC 20X20;62030024A ;"Armazem
699,74";;;;;;;;;;;;;;
63;Valor não encontrado;62030026A ;;;;;;;;;;;;;;;
64;RV AMAZONIA BR 21,5X21,5;62030034A ;"Armazem
1183,89";;;;;;;;;;;;;;
65;PS OCEANIC LAKE BLUE 20X20;62060102A ;"Armazem
1908,06"; 15/07/2022 ; 2608,82 M2;;;;;;;;;;;;
66;PS OCEANIC SKY BLUE 20X20;62060104A ;"Armazem
3873,94"; 15/07/2022 ; 1906,45 M2;;;;;;;;;;;;
67;PS OCEANIC POOL BLUE 20X20;62060106A ;"Armazem
1497,42"; 16/07/2022 ; 1853,35 M2;;;;;;;;;;;;
68;PS OCEANIC WHITE 20X20;62060108A ;"Armazem
3561,24";;;;;;;;;;;;;;
69;Valor não encontrado;62060110A ;;;;;;;;;;;;;;;
70;PS OCEANIC STAR LAKE BLUE 20X20;62060112A ;"Armazem
339,84";;;;;;;;;;;;;;
71;PS OCEANIC STAR SKY BLUE 20X20;62060114A ;"Armazem
1294,46";;;;;;;;;;;;;;
72;PS OCEANIC STAR POOL BLUE 20X20;62060116A ;"Armazem
258,42";;;;;;;;;;;;;;
73;PP ARBOL CANELA 20X120 R;64230004A ;"Armazem
59,16"; 31/10/2022 ; 630,11 M2; 31/08/2022 ; 47,10 M2; 22/07/2022 ; 209,96 M2; 18/06/2022 ; 212,05 M2;;;;;;
74;PP ARBOL MARFIM 20X120 R;64230006A ;"Armazem
5409,08"; 31/10/2022 ; 207,41 M2; 22/06/2022 ; 136,65 M2;;;;;;;;;;
75;PP ARBOL CARVALHO 20X120 R;64230008A ;"Armazem
944,24"; 31/10/2022 ; 259,61 M2; 31/08/2022 ; 176,32 M2; 22/07/2022 ; 96,05 M2; 18/06/2022 ; 207,41 M2;;;;;;
76;PP ARBOL CARVALHO 20X120 RET ABS;64230010A ;"Armazem
4,64"; 24/07/2022 ; 45,01 M2; 18/06/2022 ; 343,13 M2;;;;;;;;;;
77;PP ALAMO NATURAL 20X120 R;64230036A ;"Armazem
258,68";;;;;;;;;;;;;;
78;PP ALAMO CINZA AC 20X120 R;64230046A ;"Armazem
332,92"; 10/06/2022 ; 2008,89 M2;;;;;;;;;;;;
79;PP ALAMO MARROM AC 20X120 R;64230048A ;"Armazem
468,64"; 10/06/2022 ; 1502,43 M2;;;;;;;;;;;;
80;PP DEVON NATURAL AC 20X120 R;64230058A ;"Armazem
1133,32"; 31/08/2022 ; 611,55 M2;;;;;;;;;;;;
81;PP DEVON NATURAL ABS 20X120 R;64230060A ;"Armazem
592,76"; 22/06/2022 ; 324,57 M2;;;;;;;;;;;;
82;PP DUO CONCRET GRIS 90X90 R;64240018A ;"Armazem
27,54"; 31/12/2022 ; 1981,26 M2; 31/10/2022 ; 187,92 M2; 30/09/2022 ; 429,30 M2; 31/08/2022 ; 591,30 M2; 07/07/2022 ; 139,32 M2;;;;
83;Valor não encontrado;64240042A ;;;;;;;;;;;;;;;
84;PP ARENNA BEGE ABS 90X90 R;64240044A ;"Armazem
787,20";;;;;;;;;;;;;;
85;PP CALACATA AC 90X90 R;64240046A ;"Armazem
1209,60"; 30/09/2022 ; 1159,20 M2; 02/08/2022 ; 971,20 M2;;;;;;;;;;
86;PP PRO CEMENT AC 90X90 R;64240060A ;"Armazem
8,00"; 31/10/2022 ; 104,00 M2; 30/09/2022 ; 10,40 M2; 31/08/2022 ; 51,20 M2; 19/07/2022 ; 24,00 M2; 30/06/2022 ; 1,60 M2;;;;
87;PP PRO CONCRETE AC 90X90 R;64240062A ;"Armazem
33,60"; 31/12/2022 ; 1300,00 M2; 31/12/2022 ; 36,00 M2; 30/11/2022 ; 384,80 M2; 31/10/2022 ; 666,40 M2; 30/09/2022 ; 52,00 M2; 31/08/2022 ; 399,20 M2; 02/08/2022 ; 5,60 M2
88;PP PRO IVORY AC 90X90 R;64240064A ;"Armazem
163,20"; 30/11/2022 ; 1632,80 M2; 30/09/2022 ; 710,40 M2; 31/08/2022 ; 2356,00 M2; 02/08/2022 ; 23,20 M2;;;;;;
89;PP PRO NUDE AC 90X90 R;64240066A ;; 31/10/2022 ; 32,80 M2; 30/09/2022 ; 383,20 M2; 31/08/2022 ; 501,60 M2; 02/08/2022 ; 455,20 M2; 25/06/2022 ; 60,00 M2;;;;
90;PP PRO SAND AC 90X90 R;64240068A ;"Armazem
8,00"; 30/11/2022 ; 666,40 M2; 31/10/2022 ; 1300,00 M2; 30/09/2022 ; 813,60 M2; 31/08/2022 ; 4591,20 M2; 26/07/2022 ; 31,20 M2; 27/06/2022 ; 104,00 M2;;
91;Valor não encontrado;64240070A ;;;;;;;;;;;;;;;
92;PP DECK ALAMO MARROM ABS 90X90 R;64240072A ;"Armazem
623,70";;;;;;;;;;;;;;
93;PP PRESTIGE CREMA AC 90X90 R;64240074A ;"Armazem
259,20"; 30/09/2022 ; 174,40 M2;;;;;;;;;;;;
94;PP PRESTIGE CREMA ABS 90X90 R;64240076A ;"Armazem
166,40";;;;;;;;;;;;;;
95;PP NORDICO SNOW AC 90X90 R;64240078A ;"Armazem
140,80"; 30/09/2022 ; 180,00 M2; 26/06/2022 ; 88,80 M2;;;;;;;;;;
96;PP PRO NUDE GP 90X90 R;64240080A ;; 31/08/2022 ; 439,20 M2;;;;;;;;;;;;
97;PP PRO CEMENT GP 90X90 R;64240082A ;"Armazem
43,20"; 30/09/2022 ; 8,00 M2;;;;;;;;;;;;
98;PP PRO MAX SAND ABS 90X90 R;64240084A ;"Armazem
334,40"; 30/09/2022 ; 49,60 M2;;;;;;;;;;;;
99;PP PRO MAX CONCRETE ABS 90X90 R;64240086A ;; 30/09/2022 ; 793,60 M2; 09/07/2022 ; 310,40 M2;;;;;;;;;;
100;PP PRO CONCRETE GP 90X90 R;64240088A ;"Armazem
32,00";;;;;;;;;;;;;;
101;PP PRO IVORY GP 90X90 R;64240090A ;"Armazem
870,40";;;;;;;;;;;;;;
102;PP PRO SAND GP 90X90R;64240092A ;"Armazem
88,00"; 30/09/2022 ; 89,60 M2; 26/06/2022 ; 275,20 M2;;;;;;;;;;
103;PP CALACATA GP 90X90 R;64240094A ;"Armazem
489,60";;;;;;;;;;;;;;
104;PP ONICE AC 90X90 R;64240096A ;"Armazem
59,20"; 30/11/2022 ; 431,20 M2; 30/09/2022 ; 1364,00 M2; 31/08/2022 ; 2000,00 M2; 07/08/2022 ; 105,60 M2; 23/06/2022 ; 22,40 M2;;;;
105;PE SEATTLE WHITE POL 90X90 R;64240100A ;"Armazem
123,20"; 18/07/2022 ; 817,60 M2;;;;;;;;;;;;
106;PP SEATTLE WHITE AC 90X90 R;64240102A ;"Armazem
9,60"; 30/11/2022 ; 1280,80 M2; 31/10/2022 ; 244,00 M2; 31/08/2022 ; 92,80 M2; 25/06/2022 ; 18,40 M2;;;;;;
107;PP QUARTZITA BEGE AC 90X90 R;64240104A ;"Armazem
1878,40";;;;;;;;;;;;;;
108;PP QUARTZITA BEGE ABS 90X90 R;64240106A ;"Armazem
561,60"; 30/11/2022 ; 1999,20 M2;;;;;;;;;;;;
109;PP QUARTZITA CINZA AC 90X90 R;64240108A ;"Armazem
632,00";;;;;;;;;;;;;;
110;PP QUARTZITA CINZA ABS 90X90 R;64240110A ;"Armazem
278,40"; 30/09/2022 ; 294,40 M2;;;;;;;;;;;;
111;PP SEATTLE WHITE ABS 90X90 R;64240112A ;"Armazem
25,60"; 30/09/2022 ; 224,80 M2; 26/07/2022 ; 296,00 M2;;;;;;;;;;
112;PP LIVERPOOL CINZA AC 60X120 R;64280000A ;"Armazem
1072,10";;;;;;;;;;;;;;
113;PP PRO CONCRETE AC 60X120 R;64280002A ;"Armazem
177,50"; 31/10/2022 ; 13,49 M2; 31/08/2022 ; 0,71 M2; 15/07/2022 ; 154,78 M2;;;;;;;;
114;PP PRO SAND AC 60X120 R;64280004A ;"Armazem
123,54"; 31/10/2022 ; 17,75 M2; 31/08/2022 ; 68,16 M2; 15/07/2022 ; 406,12 M2; 28/06/2022 ; 257,02 M2;;;;;;
115;PP SEATTLE DECOR GRIS AC 30X60 R;66220122A ;"Armazem
1198,80";;;;;;;;;;;;;;
116;PP SEATTLE SPIN WHITE AC 30X60 R;66220124A ;"Armazem
198,72"; 31/08/2022 ; 1359,36 M2;;;;;;;;;;;;
117;PP SEATTLE SPIN GRIS AC 30X60 R;66220126A ;"Armazem
318,24"; 31/08/2022 ; 986,40 M2;;;;;;;;;;;;
118;PP SPIN WHITE AC 30X60 R;66220132A ;"Armazem
870,48";;;;;;;;;;;;;;
119;PE SEATTLE GRIS POL 90X90 R;67180020A ;"Armazem
2414,40"; 30/09/2022 ; 1863,20 M2; 02/08/2022 ; 5164,00 M2;;;;;;;;;;
120;PP SEATTLE GRIS AC 90X90 R;67180022A ;"Armazem
36,80"; 31/12/2022 ; 2496,80 M2; 31/12/2022 ; 1581,60 M2; 31/10/2022 ; 210,40 M2; 30/09/2022 ; 1165,60 M2; 31/08/2022 ; 213,60 M2; 26/07/2022 ; 42,40 M2; 27/06/2022 ; 40,00 M2
121;PP SEATTLE GRIS ABS 90X90 R;67180024A ;"Armazem
89,60"; 31/10/2022 ; 244,00 M2; 30/09/2022 ; 864,00 M2; 31/08/2022 ; 713,60 M2; 26/06/2022 ; 46,40 M2;;;;;;
122;MOSAICO OXI RUDDY 33X33;72290094A ;"Armazem
1181,04";;;;;;;;;;;;;;
123;MOSAICO SEATTLE GRIS 33X33;72290096A ;"Armazem
3099,36";;;;;;;;;;;;;;
124;Valor não encontrado;72290098A ;;;;;;;;;;;;;;;
125;ACPS MOSAICO ARGOS MULTICOR;74370010A ;"Armazem
1240";;;;;;;;;;;;;;
126;MOSAICO MIX STONE WH 29,5X32,2;74680000A ;"Armazem
792";;;;;;;;;;;;;;
127;PP BRICK ADOBE TERRACOTA 7,5X30;85040006A ;"Armazem
498,78";;;;;;;;;;;;;;
128;PP BRICK PRO CEMENT AC 7,5X30;85040008A ;"Armazem
177,48";;;;;;;;;;;;;;
129;PP BRICK PRO CONCRETE AC 7,5X30;85040010A ;"Armazem
1216,86"; 05/06/2022 ; 230,08 M2;;;;;;;;;;;;
130;PP BRICK PRO IVORY AC 7,5X30;85040012A ;"Armazem
717,06";;;;;;;;;;;;;;
131;PP BRICK PRO NUDE AC 7,5X30;85040014A ;"Armazem
298,86";;;;;;;;;;;;;;
132;PP BRICK PRO SAND AC 7,5X30;85040016A ;"Armazem
251,94";;;;;;;;;;;;;;
133;PE PRO CONCRETE POL 60X120 R;96050008A ;"Armazem
4323,90";;;;;;;;;;;;;;
134;PE PRO SAND POL 60X120 R;96050010A ;"Armazem
4035,64"; 31/10/2022 ; 11,36 M2; 26/07/2022 ; 110,76 M2;;;;;;;;;;
135;PE PRESTIGE CREMA POL 90X90 R;96080004A ;"Armazem
348,80"; 30/09/2022 ; 364,80 M2;;;;;;;;;;;;
136;PE MARMO KENYA BEGE POL 90X90 R;96080006A ;"Armazem
272,00"; 31/10/2022 ; 1440,80 M2; 30/09/2022 ; 226,40 M2; 26/07/2022 ; 42,40 M2;;;;;;;;
137;PE CALACATA POL 90X90 R;96080008A ;"Armazem
14,40"; 30/11/2022 ; 205,60 M2; 30/09/2022 ; 22,40 M2; 12/07/2022 ; 18,40 M2; 06/06/2022 ; 92,00 M2;;;;;;
138;PE NORDICO SNOW POL 90X90 R;96080010A ;"Armazem
115,20"; 31/10/2022 ; 244,00 M2; 30/09/2022 ; 7,20 M2; 11/07/2022 ; 81,60 M2;;;;;;;;
139;PE PRO CEMENT POL 90X90 R;96080012A ;"Armazem
20,80"; 31/10/2022 ; 517,60 M2; 30/09/2022 ; 372,00 M2; 17/07/2022 ; 37,60 M2;;;;;;;;
140;PE PRO CONCRETE POL 90X90 R;96080014A ;"Armazem
35,20"; 31/10/2022 ; 32,80 M2; 30/09/2022 ; 116,00 M2; 15/07/2022 ; 25,60 M2;;;;;;;;
141;PE PRO IVORY POL 90X90 R;96080016A ;"Armazem
20,80"; 30/11/2022 ; 280,80 M2; 30/09/2022 ; 64,80 M2; 31/08/2022 ; 21,60 M2; 15/07/2022 ; 18,40 M2;;;;;;
142;PE PRO NUDE POL 90X90 R;96080018A ;"Armazem
387,20"; 30/11/2022 ; 416,80 M2; 31/08/2022 ; 1511,20 M2; 02/08/2022 ; 3876,80 M2; 06/06/2022 ; 149,60 M2;;;;;;
143;PE PRO SAND POL 90X90 R;96080020A ;"Armazem
177,60"; 31/10/2022 ; 32,80 M2; 30/09/2022 ; 116,00 M2; 18/07/2022 ; 65,60 M2;;;;;;;;
144;PE ONICE POL 90X90 R;96080022A ;"Armazem
228,80"; 31/12/2022 ; 1791,20 M2; 31/10/2022 ; 2356,00 M2; 30/09/2022 ; 3444,80 M2; 26/07/2022 ; 300,80 M2; 11/07/2022 ; 3740,80 M2;;;;
145;Valor não encontrado;96090002A ;;;;;;;;;;;;;;;
146;LM CALACATA AC 120X120 R;98000030A ;"Armazem
205,20"; 30/11/2022 ; 949,05 M2; 31/07/2022 ; 85,50 M2;;;;;;;;;;
147;LM CALACATA MC 120X120 R;98000032A ;; 30/11/2022 ; 401,85 M2; 30/09/2022 ; 88,35 M2; 29/05/2022 ; 381,90 M2;;;;;;;;
148;LM SOLID CONCRET AC 120X120 R;98000034A ;; 30/11/2022 ; 319,20 M2; 30/09/2022 ; 5,70 M2; 31/07/2022 ; 5,70 M2;;;;;;;;
149;LM SOLID CONCRET MC 120X120 R;98000036A ;"Armazem
501,60"; 30/11/2022 ; 128,25 M2; 30/09/2022 ; 34,20 M2; 31/08/2022 ; 85,50 M2;;;;;;;;
150;LM SOLID SAND AC 120X120 R;98000038A ;"Armazem
34,20"; 30/11/2022 ; 17,10 M2; 31/07/2022 ; 22,80 M2;;;;;;;;;;
151;LM SOLID SAND MC 120X120 R;98000040A ;"Armazem
1387,95";;;;;;;;;;;;;;
152;LM GALILEU CINZA MC 120X120 R;98000042A ;; 30/11/2022 ; 219,45 M2; 30/09/2022 ; 41,32 M2;;;;;;;;;;
153;LM GALILEU CINZA AC 120X120 R;98000044A ;"Armazem
74,10"; 30/11/2022 ; 98,32 M2; 31/07/2022 ; 62,70 M2;;;;;;;;;;
154;LM GALILEU BEGE MC 120X120 R;98000046A ;"Armazem
133,95"; 30/11/2022 ; 401,85 M2; 30/09/2022 ; 22,80 M2; 31/08/2022 ; 11,40 M2;;;;;;;;
155;LM GALILEU BEGE AC 120X120 R;98000048A ;"Armazem
19,95"; 30/11/2022 ; 1811,18 M2; 31/10/2022 ; 37,05 M2; 31/07/2022 ; 55,58 M2;;;;;;;;
156;LM CALACATA MC 60X120 R;98020004A ;"Armazem
6,39"; 31/08/2022 ; 271,22 M2; 12/06/2022 ; 191,70 M2;;;;;;;;;;
157;LM CALACATA AC 60X120 R;98020006A ;"Armazem
432,39"; 31/08/2022 ; 181,05 M2;;;;;;;;;;;;
158;LM LOFT WOOD WHITE AC 20X120 R;98030000A ;"Armazem
596,16";;;;;;;;;;;;;;
159;LM LOFT WOOD GRAY AC 20X120 R;98030002A ;"Armazem
916,32";;;;;;;;;;;;;;
160;LM VENATINO MC 100X200 R;98050002A ;; 29/06/2022 ; 260 M2;;;;;;;;;;;;
161;LM VENATINO AC 100X200 R;98050004A ;; 26/06/2022 ; 34 M2;;;;;;;;;;;;
162;LM CITY NUDE MC 100X200 R;98050006A ;"Armazem
176";;;;;;;;;;;;;;
163;LM CITY NUDE AC 100X200 R;98050008A ;"Armazem
426";;;;;;;;;;;;;;
164;LM CITY CEMENT MC 100X200 R;98050010A ;"Armazem
882";;;;;;;;;;;;;;
165;LM CITY CEMENT AC 100X200 R;98050012A ;; 27/06/2022 ; 774 M2;;;;;;;;;;;;
